"id" "day" "Dose" "LOGTV"
"604" 35 30 5 7.23236925229469
"605" 35 33 5 7.52077708376538
"606" 36 -14 5 2.24601474150565
"607" 36 -12 5 2.40405551499239
"608" 36 -9 5 2.79760191169363
"609" 36 -6 5 3.19999789158565
"610" 36 -2 5 4.10115868222904
"611" 36 0 5 4.4065571150909
"612" 36 2 5 4.62646232637871
"613" 36 5 5 4.72539927806641
"614" 36 7 5 4.14878172970091
"615" 36 9 5 4.84791632458781
"616" 36 12 5 4.81821238364354
"617" 36 14 5 5.32292073857536
"618" 36 16 5 5.54185160750998
"619" 36 20 5 5.46588600828185
"620" 36 23 5 5.74907711523121
"621" 36 26 5 5.91676422421338
"622" 36 28 5 5.97337471618765
"623" 36 30 5 6.14386369389643
"624" 36 33 5 6.35188877519736
"625" 37 -14 5 3.28573551234557
"626" 37 -12 5 3.5867415555388
"627" 37 -9 5 4.32545628318549
"628" 37 -6 5 4.4065571150909
"629" 37 -2 5 4.69313997023496
"630" 37 0 5 4.87704345337346
"631" 37 2 5 4.87704345337346
"632" 37 5 5 4.84791632458781
"633" 37 7 5 4.87704345337346
"634" 37 9 5 5.11648867176129
"635" 37 12 5 5.30133763239721
"636" 37 14 5 5.6490400534832
"637" 37 16 5 5.68313243009953
"638" 37 20 5 5.98719969884504
"639" 37 23 5 6.36264150941528
"640" 37 26 5 6.45609733441951
"641" 37 28 5 6.46613081664571
"642" 37 30 5 6.8673498643471
"643" 37 33 5 7.25617927602913
"644" 38 -14 10 2.67753785018332
"645" 38 -12 10 2.79760191169363
"646" 38 -9 10 3.51696153208646
"647" 38 -6 10 4.00112162048103
"648" 38 -2 10 4.52053597555778
"649" 38 0 10 4.52053597555778
"650" 38 2 10 4.87704345337346
"651" 38 5 10 4.32545628318549
"652" 38 7 10 4.23971866242556
"653" 38 9 10 4.19493921770104
"654" 38 12 10 4.72539927806641
"655" 38 14 10 4.62646232637871
"656" 38 16 10 5.14087945306896
"657" 38 20 10 5.18850250054083
"658" 38 23 10 4.98820541160405
"659" 38 26 10 4.96117765335003
"660" 38 28 10 5.0664840413599
"661" 38 30 10 5.14087945306896
"662" 38 33 10 5.46588600828185
"663" 38 35 10 5.8122443432564
"664" 38 37 10 5.74907711523121
"665" 38 40 10 5.8122443432564
"666" 38 42 10 6.34105840323713
"667" 39 -14 10 2.40405551499239
"668" 39 -12 10 3.51696153208646
"669" 39 -9 10 4.00112162048103
"670" 39 -6 10 4.72539927806641
"671" 39 -2 10 5.66618309721863
"672" 39 0 10 5.97337471618765
"673" 39 2 10 6.01447317746982
"674" 39 5 10 5.85793315448346
"675" 39 7 10 5.52321782751214
"676" 39 9 10 5.85793315448346
"677" 39 12 10 5.97337471618765
"678" 39 14 10 6.15620944260121
"679" 39 16 10 6.20460073592854
"680" 39 20 10 6.37331771106857
"681" 39 23 10 6.61815955803614
"682" 39 26 10 6.70590386805855
"683" 39 28 10 6.59997751723762
"684" 39 30 10 7.13315954853787
"685" 39 33 10 7.12028393300079
"686" 39 35 10 7.3310508631017
"687" 39 37 10 7.52077708376538
"688" 39 40 10 7.48571705698741
"689" 39 42 10 7.95600847616113
"690" 40 -14 10 3.10906095886099
"691" 40 -12 10 3.51696153208646
"692" 40 -9 10 3.89393317450782
"693" 40 -6 10 4.00112162048103
"694" 40 -2 10 4.84791632458781
"695" 40 0 10 4.96117765335003
"696" 40 2 10 5.21175878034478
"697" 40 5 10 4.62646232637871
"698" 40 7 10 4.87704345337346
"699" 40 9 10 5.11648867176129
"700" 40 12 10 5.25721680458777
"701" 40 14 10 5.27943943326548
"702" 40 16 10 5.46588600828185
"703" 40 20 10 5.66618309721863
"704" 40 23 10 5.63169881988158
"705" 40 26 10 5.5602567463977
"706" 40 28 10 5.85793315448346
"707" 40 30 10 5.88763709542773
"708" 40 33 10 6.39444482089118
"709" 40 35 10 6.50560677912177
"710" 40 37 10 6.56293859835206
"711" 40 40 10 6.76440710476345
"712" 40 42 10 7.03378547022607
"713" 41 -14 10 3.01225317715464
"714" 41 -12 10 2.79760191169363
"715" 41 -9 10 3.28573551234557
"716" 41 -6 10 3.89393317450782
"717" 41 -2 10 4.10115868222904
"718" 41 0 10 4.78790832266726
"719" 41 2 10 4.84791632458781
"720" 41 5 10 4.87704345337346
"721" 41 7 10 4.05197394799456
"722" 41 9 10 4.32545628318549
"723" 41 12 10 4.75697939186316
